Method,Accuracy,EM,F1,Retrieval Rate,Recall@5,Faithfulness,Attribution Precision,Time (sec/sample)
VisRAG,10.0%,0.100,0.100,100.0%,100.0%,0.039,0.000,58.3
SAM-RAG,20.0%,0.200,0.200,80.0%,80.0%,0.789,0.725,87.8
ViDoRAG,30.0%,0.300,0.300,100.0%,100.0%,0.400,0.200,28.4
Self-Aware-MRAG,50.0%,0.500,0.500,60.0%,60.0%,0.200,0.200,31.8
MuRAG,50.0%,0.500,0.500,100.0%,100.0%,0.207,0.100,128.8
mR2AG,60.0%,0.600,0.600,70.0%,70.0%,0.200,0.100,57.5
